Date,site,IGBPname,Landcover,ID,co2,LE,Rln,Prcp,Pa,Rs,Tavg,VPD,U2,LAI,Albedo,Emiss
2007-4-13,US-Var,GRA,10,156,391.8641458,71.78996063,293.7785625,0,100.1349583,290.3330417,12.25572917,0.725,1.301770833,1.3185,0.15307,0.98494
2013-9-24,AU-TTE,OSH,7,21,387.9875,4.31064306,355.6458333,0,94.76708333,301.4583333,29.31125,3.864141667,2.883125,0.45849,0.15526,0.974
2013-10-5,AU-Cum,EBF,2,7,396.0309375,42.56354167,333.9583333,0,100.58875,270.5,18.60479167,1.472833333,1.572708333,1.2124,0.16124,0.984
2005-10-25,US-ARb,GRA,10,123,380.5069167,23.14427479,265.715625,0,97.33125,193.6523542,9.5456875,0.6046875,1.529875,1.8392,0.19599,0.98532
2009-9-12,AU-Stp,GRA,10,20,372.45,10.95535717,338.4635833,0,99.21541667,284.0833333,26.82520833,3.177275,2.046875,0.45905,0.2231,0.982
2013-4-2,IT-CA3,DBF,4,93,394.4205,26.74104978,340.9083333,8.8,97.45704167,109.1527708,11.6381875,0.210470833,2.511520833,0.87729,0.1801,0.98462
2006-7-26,US-Syv,MF,5,147,386.6323958,61.53733333,379.675125,0.2,94.07283333,284.2394792,20.7233125,0.771208333,2.541145833,1.2116,0.114,0.98535
2006-9-21,AU-Tum,EBF,2,22,357.39925,49.10303167,260.0885417,0,86.83458333,205.0416667,6.37375,0.275083333,4.22625,4.5774,0.11413,0.98251
2010-7-3,US-AR1,GRA,10,121,402.99,97.49301667,433.2899583,8.7,93.8969375,124.071375,23.6425,0.125208333,4.445229167,0.57297,0.17599,0.98205
2008-10-23,US-MMS,DBF,4,136,386.3324167,33.09233333,309.3437917,0,99.100125,147.7005,11.589625,0.766125,3.562625,1.8786,0.133,0.9819
2012-1-23,AU-Whr,EBF,2,24,360.0270833,49.89583333,355.6041667,0,99.65125,368.578125,25.945625,2.268529167,2.384583333,0.92238,0.12317,0.98444
